ComplaintID,OrderID,ComplaintType,Status,ResolutionHours
CP00001,O003396,Wrong Item,Resolved,51
CP00002,O006725,Wrong Item,Resolved,70
CP00003,O019313,Wrong Item,Open,2
CP00004,O016216,Cold Food,Resolved,63
CP00005,O002243,Packaging,Open,29
CP00006,O014384,Packaging,Resolved,54
CP00007,O009909,Cold Food,Open,3
CP00008,O011207,Cold Food,Open,25
CP00009,O002081,Packaging,Resolved,14
CP00010,O014481,Wrong Item,Resolved,62
CP00011,O008171,Late Delivery,Open,40
CP00012,O015489,Packaging,Resolved,26
CP00013,O001385,Missing Item,Open,25
CP00014,O005565,Packaging,Open,68
CP00015,O001329,Missing Item,Open,32
CP00016,O007628,Wrong Item,Open,52
CP00017,O002883,Wrong Item,Open,50
CP00018,O018987,Cold Food,Open,48
CP00019,O004146,Late Delivery,Resolved,25
CP00020,O004797,Wrong Item,Open,46
CP00021,O015060,Wrong Item,Resolved,45
CP00022,O008395,Cold Food,Open,8
CP00023,O000403,Missing Item,Open,47
CP00024,O018913,Packaging,Open,52
CP00025,O000636,Wrong Item,Resolved,54
CP00026,O017245,Missing Item,Resolved,64
CP00027,O015806,Packaging,Open,11
CP00028,O004409,Packaging,Resolved,15
CP00029,O013532,Late Delivery,Open,55
CP00030,O009961,Cold Food,Open,65
CP00031,O004996,Wrong Item,Open,1
CP00032,O015091,Cold Food,Resolved,35
CP00033,O008128,Packaging,Resolved,21
CP00034,O005904,Wrong Item,Resolved,72
CP00035,O009351,Missing Item,Open,71
CP00036,O002637,Late Delivery,Open,24
CP00037,O005665,Missing Item,Open,29
CP00038,O002499,Missing Item,Open,70
CP00039,O003044,Packaging,Open,24
CP00040,O014558,Missing Item,Open,52
CP00041,O003481,Cold Food,Open,69
CP00042,O010765,Missing Item,Resolved,21
CP00043,O004436,Wrong Item,Resolved,31
CP00044,O011099,Cold Food,Open,61
CP00045,O015314,Packaging,Open,39
CP00046,O007439,Late Delivery,Open,36
CP00047,O013420,Cold Food,Open,3
CP00048,O019504,Cold Food,Open,57
CP00049,O013961,Late Delivery,Open,12
CP00050,O018427,Cold Food,Open,2
CP00051,O007893,Missing Item,Resolved,60
CP00052,O011112,Wrong Item,Resolved,56
CP00053,O012279,Late Delivery,Resolved,36
CP00054,O016838,Wrong Item,Resolved,27
CP00055,O017801,Wrong Item,Resolved,31
CP00056,O015170,Missing Item,Resolved,32
CP00057,O019616,Missing Item,Resolved,47
CP00058,O004608,Late Delivery,Open,3
CP00059,O019223,Wrong Item,Resolved,50
CP00060,O002973,Packaging,Open,7
CP00061,O008350,Missing Item,Resolved,68
CP00062,O013304,Wrong Item,Resolved,30
CP00063,O019722,Packaging,Open,34
CP00064,O014583,Late Delivery,Resolved,33
CP00065,O014646,Wrong Item,Open,24
CP00066,O011752,Packaging,Resolved,57
CP00067,O007510,Cold Food,Resolved,22
CP00068,O011428,Missing Item,Open,67
CP00069,O006627,Packaging,Resolved,29
CP00070,O008445,Wrong Item,Open,15
CP00071,O002328,Missing Item,Open,51
CP00072,O009403,Missing Item,Open,11
CP00073,O016910,Missing Item,Open,54
CP00074,O008814,Wrong Item,Resolved,11
CP00075,O001912,Cold Food,Resolved,63
CP00076,O013118,Missing Item,Open,64
CP00077,O019620,Wrong Item,Open,44
CP00078,O010108,Cold Food,Open,25
CP00079,O015967,Packaging,Resolved,20
CP00080,O017909,Wrong Item,Open,37
CP00081,O005915,Wrong Item,Open,53
CP00082,O013724,Packaging,Open,39
CP00083,O006379,Missing Item,Resolved,54
CP00084,O010721,Wrong Item,Resolved,66
CP00085,O007003,Missing Item,Open,36
CP00086,O008081,Late Delivery,Resolved,37
CP00087,O015214,Cold Food,Resolved,36
CP00088,O009601,Missing Item,Resolved,19
CP00089,O017950,Packaging,Resolved,58
CP00090,O012107,Packaging,Resolved,60
CP00091,O009227,Cold Food,Resolved,43
CP00092,O017432,Missing Item,Resolved,58
CP00093,O010908,Wrong Item,Resolved,68
CP00094,O011225,Wrong Item,Resolved,27
CP00095,O015696,Late Delivery,Resolved,55
CP00096,O018836,Cold Food,Resolved,19
CP00097,O007982,Missing Item,Open,69
CP00098,O003034,Late Delivery,Open,62
CP00099,O019773,Late Delivery,Open,64
CP00100,O019844,Wrong Item,Open,60
CP00101,O002800,Wrong Item,Open,3
CP00102,O007750,Cold Food,Resolved,31
CP00103,O015479,Wrong Item,Open,30
CP00104,O011991,Wrong Item,Resolved,69
CP00105,O000825,Wrong Item,Resolved,29
CP00106,O010467,Cold Food,Resolved,58
CP00107,O010400,Missing Item,Open,6
CP00108,O009813,Late Delivery,Resolved,56
CP00109,O005403,Cold Food,Open,17
CP00110,O002747,Packaging,Resolved,43
CP00111,O013410,Cold Food,Open,54
CP00112,O012054,Late Delivery,Resolved,15
CP00113,O008305,Cold Food,Resolved,59
CP00114,O014089,Wrong Item,Open,47
CP00115,O008350,Wrong Item,Open,66
CP00116,O002492,Missing Item,Open,72
CP00117,O017952,Cold Food,Open,15
CP00118,O015300,Cold Food,Resolved,1
CP00119,O018782,Late Delivery,Resolved,72
CP00120,O015982,Wrong Item,Open,34
CP00121,O008119,Missing Item,Open,15
CP00122,O012181,Late Delivery,Resolved,40
