InventoryID,KitchenID,Ingredient,StockQty,WasteQty,ReorderLevel
I00001,K039,Onion,240,1,90
I00002,K027,Spices,464,23,55
I00003,K012,Spices,330,1,119
I00004,K047,Onion,107,12,136
I00005,K024,Rice,84,25,83
I00006,K044,Spices,451,21,43
I00007,K023,Chicken,334,18,89
I00008,K039,Spices,394,14,59
I00009,K013,Milk,260,25,124
I00010,K015,Milk,431,23,93
I00011,K045,Rice,64,4,104
I00012,K049,Cheese,309,15,148
I00013,K023,Spices,245,0,110
I00014,K021,Tomato,71,13,36
I00015,K013,Cheese,230,16,78
I00016,K030,Chicken,243,24,45
I00017,K025,Flour,249,17,82
I00018,K037,Flour,27,14,123
I00019,K038,Chicken,391,10,67
I00020,K018,Paneer,472,10,97
I00021,K031,Paneer,111,16,106
I00022,K007,Oil,102,11,32
I00023,K002,Chicken,38,0,48
I00024,K048,Flour,278,10,81
I00025,K030,Oil,268,15,121
I00026,K028,Rice,20,16,97
I00027,K032,Oil,240,23,109
I00028,K030,Onion,465,23,88
I00029,K015,Paneer,348,23,36
I00030,K042,Tomato,376,13,62
I00031,K048,Cheese,168,24,102
I00032,K020,Flour,110,4,102
I00033,K047,Onion,185,20,143
I00034,K005,Spices,321,13,129
I00035,K005,Tomato,291,7,110
I00036,K030,Chicken,58,20,61
I00037,K026,Flour,294,4,104
I00038,K044,Paneer,213,1,72
I00039,K011,Spices,189,9,75
I00040,K041,Onion,136,9,45
I00041,K041,Cheese,302,17,92
I00042,K020,Onion,405,21,126
I00043,K017,Chicken,70,19,76
I00044,K036,Cheese,285,17,141
I00045,K031,Oil,287,13,144
I00046,K015,Oil,198,12,50
I00047,K026,Paneer,174,16,128
I00048,K048,Spices,135,21,47
I00049,K029,Onion,129,23,127
I00050,K037,Spices,162,23,128
I00051,K007,Rice,418,9,86
I00052,K008,Flour,467,0,32
I00053,K003,Onion,330,18,120
I00054,K043,Milk,38,2,55
I00055,K012,Onion,401,4,144
I00056,K019,Flour,199,9,136
I00057,K050,Onion,368,11,43
I00058,K019,Spices,246,4,144
I00059,K026,Tomato,133,11,35
I00060,K049,Cheese,280,5,98
I00061,K005,Onion,471,1,49
I00062,K032,Paneer,218,16,89
I00063,K046,Tomato,170,12,68
I00064,K008,Milk,448,8,96
I00065,K009,Spices,78,16,104
I00066,K046,Milk,181,18,150
I00067,K041,Tomato,374,4,89
I00068,K032,Onion,448,3,96
I00069,K045,Onion,333,21,131
I00070,K007,Chicken,257,15,117
I00071,K042,Oil,27,16,148
I00072,K010,Spices,129,13,150
I00073,K007,Paneer,323,22,44
I00074,K014,Chicken,216,20,59
I00075,K035,Rice,362,22,123
I00076,K020,Cheese,206,7,36
I00077,K017,Onion,86,0,97
I00078,K048,Spices,92,0,101
I00079,K029,Spices,353,0,62
I00080,K029,Cheese,31,24,119
I00081,K001,Rice,415,16,71
I00082,K048,Rice,402,21,99
I00083,K041,Oil,60,20,72
I00084,K014,Milk,113,4,103
I00085,K002,Spices,499,20,81
I00086,K017,Flour,350,15,49
I00087,K014,Milk,48,12,109
I00088,K049,Milk,137,4,98
I00089,K019,Chicken,106,21,60
I00090,K004,Tomato,40,22,48
I00091,K005,Milk,352,12,79
I00092,K035,Spices,422,16,131
I00093,K011,Onion,23,18,59
I00094,K037,Milk,363,5,82
I00095,K025,Oil,272,5,87
I00096,K002,Oil,317,21,64
I00097,K020,Tomato,32,6,57
I00098,K011,Oil,324,22,33
I00099,K008,Cheese,371,7,132
I00100,K045,Onion,138,6,135
I00101,K015,Tomato,340,3,139
I00102,K019,Tomato,38,4,63
I00103,K041,Spices,342,21,82
I00104,K024,Milk,30,23,84
I00105,K048,Cheese,64,0,95
I00106,K011,Spices,274,12,150
I00107,K027,Spices,49,11,111
I00108,K024,Cheese,367,6,143
