MenuID,ItemName,Category,CostPrice,SellingPrice
M001,Item M001,Dessert,227,344
M002,Item M002,Chinese,220,380
M003,Item M003,Wraps,155,330
M004,Item M004,Biryani,194,303
M005,Item M005,Pizza,172,264
M006,Item M006,Wraps,178,317
M007,Item M007,Beverages,207,337
M008,Item M008,South Indian,90,255
M009,Item M009,South Indian,246,322
M010,Item M010,Dessert,93,241
M011,Item M011,Burger,187,310
M012,Item M012,Dessert,100,216
M013,Item M013,Pizza,195,354
M014,Item M014,Pizza,185,358
M015,Item M015,Wraps,181,272
M016,Item M016,South Indian,200,309
M017,Item M017,Dessert,208,276
M018,Item M018,Biryani,249,349
M019,Item M019,South Indian,119,233
M020,Item M020,Beverages,138,288
M021,Item M021,Burger,198,284
M022,Item M022,Wraps,85,152
M023,Item M023,Dessert,203,364
M024,Item M024,Dessert,115,276
M025,Item M025,Burger,82,180
M026,Item M026,Pizza,175,297
M027,Item M027,Dessert,99,180
M028,Item M028,Dessert,139,240
M029,Item M029,Burger,94,253
M030,Item M030,Wraps,118,247
M031,Item M031,Wraps,188,256
M032,Item M032,Biryani,130,199
M033,Item M033,Dessert,247,337
M034,Item M034,Wraps,225,316
M035,Item M035,Dessert,179,347
M036,Item M036,South Indian,81,163
M037,Item M037,Dessert,217,291
M038,Item M038,Pizza,227,343
M039,Item M039,Burger,152,271
M040,Item M040,South Indian,150,246
M041,Item M041,Beverages,233,397
M042,Item M042,Dessert,249,378
M043,Item M043,Biryani,179,306
M044,Item M044,Dessert,197,350
M045,Item M045,Wraps,233,356
M046,Item M046,South Indian,196,278
M047,Item M047,South Indian,190,278
M048,Item M048,Burger,167,225
M049,Item M049,South Indian,157,225
M050,Item M050,Biryani,123,293
M051,Item M051,Pizza,183,283
M052,Item M052,South Indian,128,214
M053,Item M053,Pizza,213,376
M054,Item M054,Biryani,159,221
M055,Item M055,Chinese,151,228
M056,Item M056,Biryani,235,295
M057,Item M057,Dessert,201,296
M058,Item M058,South Indian,195,253
M059,Item M059,Biryani,162,301
M060,Item M060,Chinese,150,319
M061,Item M061,Chinese,194,307
M062,Item M062,Burger,184,340
M063,Item M063,South Indian,183,246
M064,Item M064,Wraps,112,234
M065,Item M065,Pizza,216,324
M066,Item M066,Dessert,84,252
M067,Item M067,Burger,220,388
M068,Item M068,Biryani,99,149
M069,Item M069,Wraps,227,352
M070,Item M070,Beverages,99,259
M071,Item M071,Pizza,226,379
M072,Item M072,Pizza,95,210
M073,Item M073,Wraps,186,334
M074,Item M074,Burger,195,293
M075,Item M075,Dessert,226,354
M076,Item M076,Beverages,192,244
M077,Item M077,Wraps,113,279
M078,Item M078,Wraps,197,288
M079,Item M079,Beverages,237,417
M080,Item M080,Dessert,95,165
M081,Item M081,Burger,147,284
M082,Item M082,Pizza,83,257
M083,Item M083,Dessert,145,310
M084,Item M084,Pizza,216,344
M085,Item M085,Biryani,215,330
M086,Item M086,Biryani,178,333
M087,Item M087,Pizza,128,298
M088,Item M088,Beverages,163,320
M089,Item M089,South Indian,130,195
M090,Item M090,Chinese,121,218
M091,Item M091,Dessert,210,358
M092,Item M092,Wraps,159,319
M093,Item M093,Wraps,195,347
M094,Item M094,Biryani,83,148
M095,Item M095,Beverages,88,194
M096,Item M096,Burger,247,358
M097,Item M097,Pizza,110,198
M098,Item M098,Burger,224,315
M099,Item M099,Burger,239,410
M100,Item M100,Chinese,80,178
M101,Item M101,Biryani,225,405
M102,Item M102,Dessert,161,222
M103,Item M103,Burger,142,277
M104,Item M104,Chinese,122,218
M105,Item M105,Wraps,140,270
M106,Item M106,Beverages,242,345
M107,Item M107,Wraps,223,285
M108,Item M108,Beverages,193,345
M109,Item M109,Burger,235,288
M110,Item M110,Burger,187,311
M111,Item M111,Beverages,90,255
M112,Item M112,Biryani,202,253
M113,Item M113,Burger,175,240
M114,Item M114,Chinese,198,271
M115,Item M115,Dessert,198,361
M116,Item M116,Beverages,81,138
M117,Item M117,Wraps,206,373
M118,Item M118,Biryani,161,322
M119,Item M119,Chinese,233,377
M120,Item M120,Biryani,226,296
M121,Item M121,Pizza,250,368
M122,Item M122,Pizza,183,317
M123,Item M123,Burger,191,345
M124,Item M124,Chinese,219,352
M125,Item M125,Biryani,121,267
M126,Item M126,Wraps,84,231
M127,Item M127,South Indian,220,285
M128,Item M128,Beverages,223,383
M129,Item M129,South Indian,188,298
M130,Item M130,Dessert,119,254
M131,Item M131,Burger,116,287
M132,Item M132,South Indian,97,198
M133,Item M133,Chinese,228,371
M134,Item M134,South Indian,147,216
M135,Item M135,Beverages,179,346
M136,Item M136,Pizza,129,233
M137,Item M137,Chinese,231,390
M138,Item M138,Beverages,161,254
M139,Item M139,Burger,218,385
M140,Item M140,Pizza,127,289
M141,Item M141,Burger,180,293
M142,Item M142,Pizza,132,271
M143,Item M143,South Indian,219,315
M144,Item M144,Pizza,80,244
M145,Item M145,Burger,239,355
M146,Item M146,Dessert,159,307
