OrderID,CustomerID,KitchenID,RiderID,OrderDate,PreparationTime,DeliveryTime,OrderStatus,TotalAmount,Discount,TotalCost,CustomerRating,DistanceKM,PaymentMethod,DeliveryPartner,Weather,TrafficLevel,TimeSlot,OrderPriority,CouponCode,DiscountType,PreparationDelayReason,DeliveryDelayReason
O000001,C00717,K045,R0137,2025-09-07,18,31,Delivered,382,68,295,4.0,10,Cash,Porter,Sunny,Low,Dinner,Normal,WELCOME100,Percentage,,Heavy Rain
O000002,C02620,K029,R0137,2026-11-01,38,45,Cancelled,409,116,309,4.5,4,Debit Card,Porter,Cloudy,Medium,Evening,Express,SAVE50,Flat,Equipment Issue,Traffic
O000003,C01526,K001,R0470,2026-06-11,31,29,Delivered,1268,179,842,3.5,2,UPI,Shadowfax,Rainy,High,Breakfast,Normal,NONE,No Discount,Equipment Issue,
O000004,C02269,K008,R0193,2026-01-26,12,43,Cancelled,675,9,374,4.0,12,Debit Card,In-House,Cloudy,Medium,Dinner,Normal,SAVE50,Percentage,,Rider Delay
O000005,C01143,K013,R0010,2026-11-18,26,27,Delivered,1054,151,635,4.0,2,Wallet,Shadowfax,Cloudy,Medium,Lunch,Normal,FIRST50,No Discount,Equipment Issue,
O000006,C00980,K014,R0317,2026-02-14,29,50,Delivered,1102,44,798,3.6,3,Credit Card,Dunzo,Rainy,High,Dinner,Normal,NONE,No Discount,Staff Shortage,Rider Delay
O000007,C01270,K010,R0452,2026-03-20,35,29,Delivered,920,31,681,4.5,3,Debit Card,Dunzo,Cloudy,Medium,Evening,Normal,FIRST50,No Discount,Equipment Issue,
O000008,C02713,K009,R0389,2025-08-16,12,40,Delivered,530,41,358,3.4,13,Cash,In-House,Sunny,High,Dinner,Express,WELCOME100,No Discount,,Customer Unavailable
O000009,C02922,K014,R0449,2025-04-19,14,19,Delivered,236,24,133,3.7,9,Wallet,Porter,Sunny,Medium,Dinner,Normal,NONE,Flat,,
O000010,C01724,K050,R0237,2026-01-28,24,36,Delivered,1216,159,754,3.1,4,Wallet,Dunzo,Sunny,Low,Dinner,Normal,WELCOME100,No Discount,,Heavy Rain
O000011,C02173,K032,R0446,2025-03-22,10,44,Delivered,888,156,698,4.1,7,Wallet,Porter,Cloudy,Low,Dinner,Express,WELCOME100,No Discount,,Customer Unavailable
O000012,C01230,K047,R0232,2025-05-31,24,40,Cancelled,1318,194,982,3.1,6,Cash,In-House,Cloudy,High,Evening,Express,FESTIVE20,Percentage,,Heavy Rain
O000013,C00670,K039,R0162,2026-12-15,33,15,Delivered,223,57,172,3.9,9,Cash,Porter,Cloudy,Low,Dinner,Express,WELCOME100,Percentage,Staff Shortage,
O000014,C01933,K010,R0135,2025-04-25,39,55,Delivered,1308,66,945,3.0,14,Wallet,Shadowfax,Cloudy,High,Breakfast,Express,NONE,Percentage,Ingredient Delay,Heavy Rain
O000015,C00292,K045,R0369,2026-06-16,27,59,Delivered,398,128,248,4.2,2,Credit Card,In-House,Rainy,Medium,Evening,Express,WELCOME100,Percentage,Ingredient Delay,Heavy Rain
O000016,C01051,K046,R0382,2025-03-25,12,26,Delivered,222,14,153,4.3,4,Wallet,Shadowfax,Rainy,Medium,Evening,Express,FESTIVE20,Flat,,
O000017,C02005,K033,R0177,2025-11-03,38,30,Delivered,377,152,301,4.5,14,Debit Card,Porter,Rainy,Low,Dinner,Normal,NONE,Percentage,Staff Shortage,
O000018,C01914,K032,R0212,2025-10-13,32,27,Delivered,255,47,143,3.6,3,Cash,Dunzo,Sunny,Medium,Dinner,Express,SAVE50,Percentage,Staff Shortage,
O000019,C02256,K049,R0389,2025-05-12,13,45,Delivered,867,34,685,4.9,9,Debit Card,Shadowfax,Sunny,Low,Dinner,Express,WELCOME100,No Discount,,Rider Delay
O000020,C01962,K038,R0447,2025-01-08,34,31,Delivered,1211,124,765,4.6,9,UPI,In-House,Rainy,Low,Evening,Express,NONE,Percentage,Equipment Issue,Heavy Rain
O000021,C00514,K014,R0120,2025-05-11,27,40,Delivered,1045,97,792,4.1,6,Cash,Dunzo,Cloudy,Medium,Lunch,Normal,FESTIVE20,Flat,Equipment Issue,Customer Unavailable
O000022,C01379,K025,R0331,2025-07-13,35,46,Delivered,1174,111,813,4.3,3,Cash,Shadowfax,Rainy,High,Breakfast,Normal,WELCOME100,Percentage,High Order Volume,Rider Delay
O000023,C00448,K050,R0315,2025-09-09,11,33,Cancelled,890,28,690,4.3,5,UPI,Dunzo,Sunny,High,Evening,Normal,FIRST50,Percentage,,Heavy Rain
O000024,C02848,K010,R0489,2026-12-07,20,45,Delivered,729,139,563,4.6,9,Credit Card,Porter,Rainy,Medium,Evening,Express,WELCOME100,Flat,,Traffic
O000025,C00464,K001,R0128,2026-04-28,14,38,Delivered,746,96,505,4.2,4,Debit Card,In-House,Rainy,Medium,Evening,Express,NONE,Percentage,,Heavy Rain
O000026,C01866,K021,R0404,2026-12-17,16,54,Delivered,835,190,502,3.5,6,Credit Card,In-House,Cloudy,High,Evening,Normal,SAVE50,No Discount,,Customer Unavailable
O000027,C02089,K046,R0443,2025-01-24,21,43,Delivered,741,111,518,3.5,6,Cash,Dunzo,Rainy,High,Lunch,Normal,FESTIVE20,Percentage,,Rider Delay
O000028,C00382,K048,R0453,2026-04-26,39,22,Delivered,524,126,341,3.1,9,UPI,Porter,Sunny,Low,Dinner,Normal,FIRST50,No Discount,Staff Shortage,
O000029,C02163,K018,R0304,2025-07-12,17,15,Delivered,1338,15,961,4.0,14,Cash,Shadowfax,Rainy,Low,Dinner,Normal,SAVE50,Percentage,,
O000030,C00382,K010,R0482,2026-01-28,26,49,Delivered,1040,82,585,3.4,11,Credit Card,Dunzo,Cloudy,Medium,Dinner,Express,FIRST50,Percentage,High Order Volume,Heavy Rain
O000031,C02134,K045,R0072,2026-12-10,36,47,Delivered,764,193,547,4.7,5,Debit Card,Shadowfax,Rainy,Medium,Dinner,Express,SAVE50,Flat,Ingredient Delay,Rider Delay
O000032,C02028,K029,R0484,2026-02-02,35,33,Cancelled,426,173,308,4.7,12,Credit Card,Porter,Sunny,High,Breakfast,Normal,NONE,Percentage,Staff Shortage,Traffic
O000033,C00167,K021,R0061,2026-07-01,24,31,Delivered,1044,17,595,3.9,13,Wallet,Shadowfax,Rainy,Medium,Evening,Normal,FIRST50,Percentage,,Heavy Rain
O000034,C02187,K012,R0430,2025-06-14,22,52,Delivered,1426,112,1081,3.8,4,Credit Card,Shadowfax,Cloudy,Medium,Lunch,Express,NONE,No Discount,,Heavy Rain
O000035,C01734,K004,R0350,2026-04-10,12,31,Delivered,1161,131,669,3.5,15,Wallet,Dunzo,Sunny,Low,Evening,Express,FIRST50,No Discount,,Traffic
O000036,C00054,K037,R0215,2026-02-25,38,35,Delivered,714,111,429,3.8,2,Debit Card,Porter,Rainy,Low,Lunch,Express,NONE,No Discount,Equipment Issue,Traffic
O000037,C01215,K019,R0375,2025-01-31,23,56,Delivered,1225,106,757,4.6,2,UPI,Shadowfax,Cloudy,Low,Lunch,Express,WELCOME100,No Discount,,Traffic
O000038,C01347,K048,R0090,2026-12-04,19,21,Delivered,1336,140,886,4.2,3,Cash,Shadowfax,Cloudy,Medium,Breakfast,Normal,WELCOME100,Percentage,,
O000039,C02635,K003,R0045,2025-05-29,36,42,Delivered,1414,177,832,3.6,10,Cash,In-House,Rainy,Medium,Lunch,Normal,NONE,No Discount,Equipment Issue,Rider Delay
O000040,C00176,K031,R0325,2026-04-13,38,52,Delivered,1001,198,585,3.2,7,Debit Card,Porter,Cloudy,Medium,Lunch,Express,SAVE50,No Discount,High Order Volume,Rider Delay
