OrderItemID,OrderID,MenuID,Quantity
OI000001,O008714,M118,2
OI000002,O018344,M136,2
OI000003,O016627,M194,1
OI000004,O007936,M190,3
OI000005,O004478,M104,2
OI000006,O005662,M190,2
OI000007,O016209,M196,3
OI000008,O001855,M024,2
OI000009,O003149,M098,2
OI000010,O001801,M208,3
OI000011,O014352,M165,2
OI000012,O009134,M085,2
OI000013,O018704,M066,3
OI000014,O006543,M177,2
OI000015,O004960,M228,1
OI000016,O012832,M004,3
OI000017,O009134,M178,3
OI000018,O002220,M067,1
OI000019,O018005,M105,1
OI000020,O010213,M190,1
OI000021,O010346,M027,2
OI000022,O004528,M097,2
OI000023,O009636,M209,3
OI000024,O004499,M085,1
OI000025,O013661,M224,1
OI000026,O006300,M163,2
OI000027,O006551,M112,1
OI000028,O007305,M240,3
OI000029,O004461,M012,3
OI000030,O002086,M149,3
OI000031,O016410,M087,1
OI000032,O011489,M014,1
OI000033,O002617,M053,3
OI000034,O001854,M097,3
OI000035,O004541,M169,1
OI000036,O007191,M194,2
OI000037,O010526,M027,1
OI000038,O016085,M076,1
OI000039,O018290,M067,1
OI000040,O006587,M145,3
OI000041,O014539,M184,3
OI000042,O001816,M224,1
OI000043,O002395,M068,1
OI000044,O002315,M028,3
OI000045,O018394,M242,3
OI000046,O002449,M123,2
OI000047,O002955,M093,2
OI000048,O014279,M098,2
OI000049,O017934,M133,1
OI000050,O014519,M179,1
OI000051,O017447,M146,2
OI000052,O008258,M224,1
OI000053,O016712,M207,1
OI000054,O015619,M240,3
OI000055,O016774,M136,1
OI000056,O017205,M065,2
OI000057,O000206,M042,3
OI000058,O016475,M155,2
OI000059,O001147,M160,2
OI000060,O007446,M088,2
OI000061,O018798,M157,3
OI000062,O003114,M104,3
OI000063,O004832,M176,2
OI000064,O010674,M200,2
OI000065,O016392,M072,3
OI000066,O015047,M113,2
OI000067,O006081,M131,3
OI000068,O014233,M195,3
OI000069,O016754,M084,2
OI000070,O000066,M104,3
OI000071,O009231,M242,2
OI000072,O011348,M102,1
OI000073,O005083,M146,2
OI000074,O007147,M162,2
OI000075,O007545,M034,3
OI000076,O016778,M119,3
OI000077,O018369,M107,2
OI000078,O015896,M062,1
OI000079,O010130,M027,3
OI000080,O000577,M174,2
OI000081,O000732,M147,2
OI000082,O002020,M110,1
OI000083,O002472,M045,2
OI000084,O010061,M061,2
OI000085,O006712,M130,1
OI000086,O004710,M215,3
OI000087,O010652,M104,1
OI000088,O016979,M149,3
OI000089,O002951,M130,3
OI000090,O012238,M166,1
OI000091,O017075,M167,3
OI000092,O008910,M104,1
OI000093,O019845,M210,3
OI000094,O009666,M213,1
OI000095,O009756,M095,3
OI000096,O003151,M231,1
OI000097,O003088,M237,3
OI000098,O012305,M130,1
OI000099,O013163,M166,1
OI000100,O009110,M135,1
OI000101,O019812,M073,1
OI000102,O014908,M191,3
OI000103,O001954,M031,1
OI000104,O005453,M118,1
OI000105,O013388,M214,2
OI000106,O015258,M188,2
OI000107,O001451,M187,3
OI000108,O012201,M246,3
OI000109,O019224,M247,2
OI000110,O009738,M049,3
OI000111,O013906,M163,3
OI000112,O000449,M160,1
OI000113,O014260,M193,1
OI000114,O001701,M004,2
OI000115,O000791,M215,3
OI000116,O013117,M037,3
OI000117,O013423,M026,2
OI000118,O018365,M222,1
OI000119,O004353,M193,3
OI000120,O000453,M128,2
OI000121,O003890,M170,2
OI000122,O015180,M047,1
OI000123,O009397,M138,3
OI000124,O017904,M185,2
OI000125,O003274,M239,2
OI000126,O017403,M172,1
OI000127,O003490,M101,2
OI000128,O012195,M011,1
OI000129,O007269,M092,3
OI000130,O002369,M211,2
OI000131,O013351,M229,2
OI000132,O014287,M126,3
OI000133,O019109,M100,3
OI000134,O003197,M143,2
OI000135,O009509,M066,2
OI000136,O016160,M181,1
OI000137,O017730,M240,2
OI000138,O012197,M009,1
OI000139,O001937,M054,2
OI000140,O004473,M044,1
OI000141,O006949,M044,2
OI000142,O017280,M034,2
OI000143,O006500,M142,2
OI000144,O010002,M190,1
OI000145,O003134,M107,3
OI000146,O001209,M150,3
OI000147,O006802,M151,1
OI000148,O015816,M027,1
OI000149,O014403,M089,3
OI000150,O013197,M141,1
OI000151,O011143,M062,3
OI000152,O017638,M234,1
OI000153,O019549,M062,1
OI000154,O015844,M054,3
OI000155,O016771,M022,3
OI000156,O018229,M128,3
OI000157,O016398,M071,3
OI000158,O016188,M031,3
OI000159,O001270,M207,1
OI000160,O002252,M154,3
OI000161,O000392,M134,3
OI000162,O019770,M031,2
OI000163,O004519,M038,3
OI000164,O002234,M113,3
OI000165,O003233,M103,2
OI000166,O013341,M193,1
OI000167,O002148,M096,1
OI000168,O012286,M018,2
OI000169,O006407,M061,3
OI000170,O011998,M048,3
OI000171,O015503,M223,1
OI000172,O007116,M236,2
OI000173,O015266,M084,2
OI000174,O013623,M124,2
OI000175,O005101,M174,2
OI000176,O019876,M056,2
OI000177,O000547,M163,3
OI000178,O019533,M003,2
OI000179,O010405,M218,1
OI000180,O015465,M095,1
OI000181,O016883,M053,3
OI000182,O003797,M245,2
OI000183,O013204,M146,3
OI000184,O013982,M223,2
OI000185,O015117,M136,2
OI000186,O008424,M012,3
OI000187,O006562,M131,1
OI000188,O008597,M109,1
OI000189,O019231,M163,1
OI000190,O006438,M198,3
OI000191,O019991,M195,3
OI000192,O009486,M125,1
OI000193,O001105,M138,2
OI000194,O007107,M170,3
OI000195,O016282,M119,3
OI000196,O019609,M157,1
OI000197,O009873,M238,1
OI000198,O019870,M100,2
OI000199,O011966,M108,2
OI000200,O018368,M143,3
OI000201,O018604,M015,2
OI000202,O003651,M065,2
OI000203,O019119,M160,3
OI000204,O014242,M031,1
OI000205,O019758,M083,1
OI000206,O014564,M160,2
OI000207,O007382,M154,1
