RefundID,OrderID,RefundAmount,RefundReason
RF00001,O004011,414,Quality Issue
RF00002,O013647,399,Quality Issue
RF00003,O014996,324,Late Delivery
RF00004,O006709,305,Wrong Item
RF00005,O015787,69,Late Delivery
RF00006,O000633,266,Quality Issue
RF00007,O017403,470,Wrong Item
RF00008,O011239,130,Wrong Item
RF00009,O012074,53,Cancelled
RF00010,O001384,188,Wrong Item
RF00011,O004432,355,Cancelled
RF00012,O012097,411,Wrong Item
RF00013,O003666,217,Wrong Item
RF00014,O016495,96,Quality Issue
RF00015,O003952,487,Wrong Item
RF00016,O009966,54,Wrong Item
RF00017,O011993,98,Quality Issue
RF00018,O006674,235,Late Delivery
RF00019,O003382,50,Wrong Item
RF00020,O015965,437,Quality Issue
RF00021,O018446,272,Cancelled
RF00022,O012904,339,Wrong Item
RF00023,O007254,408,Wrong Item
RF00024,O001591,499,Wrong Item
RF00025,O001614,174,Quality Issue
RF00026,O003463,316,Cancelled
RF00027,O007940,227,Late Delivery
RF00028,O009651,366,Quality Issue
RF00029,O016939,191,Quality Issue
RF00030,O013397,72,Cancelled
RF00031,O004223,131,Late Delivery
RF00032,O017156,200,Cancelled
RF00033,O016272,226,Quality Issue
RF00034,O016770,334,Wrong Item
RF00035,O014848,233,Quality Issue
RF00036,O013464,411,Wrong Item
RF00037,O003196,253,Cancelled
RF00038,O014196,251,Late Delivery
RF00039,O007212,97,Quality Issue
RF00040,O008510,362,Quality Issue
RF00041,O004481,385,Wrong Item
RF00042,O009017,497,Quality Issue
RF00043,O015859,101,Cancelled
RF00044,O016543,90,Cancelled
RF00045,O018836,112,Late Delivery
RF00046,O013629,150,Quality Issue
RF00047,O009922,226,Quality Issue
RF00048,O001108,97,Quality Issue
RF00049,O016328,235,Cancelled
RF00050,O016599,376,Quality Issue
RF00051,O019319,94,Cancelled
RF00052,O017100,148,Cancelled
RF00053,O017805,267,Quality Issue
RF00054,O000642,53,Wrong Item
RF00055,O014567,127,Quality Issue
RF00056,O013631,275,Wrong Item
RF00057,O009579,471,Wrong Item
RF00058,O017038,483,Cancelled
RF00059,O018840,155,Quality Issue
RF00060,O007610,74,Wrong Item
RF00061,O000165,337,Cancelled
RF00062,O014817,434,Quality Issue
RF00063,O016598,232,Quality Issue
